  run  | cfg | numfile |           start            |            stop            |    runlength    
 11481 | 476 |       1 |                            |                            | 
 11480 | 476 |       1 | 2017-05-25 13:54:47.979588 | 2017-05-25 13:59:51.814643 | 00:05:03.835055
 11479 | 476 |       1 |                            |                            | 
 11478 | 476 |       1 | 2017-05-25 13:42:23.105578 | 2017-05-25 13:47:26.692887 | 00:05:03.587309
 11477 | 476 |       1 | 2017-05-25 13:14:18.070196 | 2017-05-25 13:19:24.420242 | 00:05:06.350046
 11476 | 601 |       1 | 2017-05-24 12:03:28.327336 | 2017-05-24 14:27:32.916346 | 02:24:04.58901
 11475 | 601 |       1 | 2017-05-24 05:12:36.721312 | 2017-05-24 11:37:43.674602 | 06:25:06.95329
 11474 | 601 |       1 | 2017-05-23 22:08:28.250282 | 2017-05-24 05:08:45.271726 | 07:00:17.021444
 11473 | 601 |       1 | 2017-05-23 15:05:43.558423 | 2017-05-23 22:06:07.166439 | 07:00:23.608016
 11472 | 601 |       1 | 2017-05-23 11:14:49.861536 | 2017-05-23 11:22:37.084004 | 00:07:47.222468
 11471 | 601 |       1 | 2017-05-23 08:04:14.497767 | 2017-05-23 11:10:01.812276 | 03:05:47.314509
 11470 | 601 |       1 | 2017-05-23 00:58:59.742549 | 2017-05-23 07:59:14.700835 | 07:00:14.958286
 11469 | 601 |       1 | 2017-05-22 17:55:36.216259 | 2017-05-23 00:55:55.742773 | 07:00:19.526514
 11468 | 599 |       1 | 2017-05-22 14:21:13.940988 | 2017-05-22 17:52:50.17805  | 03:31:36.237062
 11467 | 599 |       1 | 2017-05-22 14:00:35.727992 | 2017-05-22 14:10:49.762551 | 00:10:14.034559
 11466 | 599 |       1 | 2017-05-22 11:24:35.28397  | 2017-05-22 13:50:25.366268 | 02:25:50.082298
 11465 | 599 |       1 | 2017-05-22 04:13:58.202086 | 2017-05-22 11:14:17.701911 | 07:00:19.499825
 11464 | 599 |       1 | 2017-05-21 21:10:48.083809 | 2017-05-22 04:11:02.137373 | 07:00:14.053564
 11463 | 599 |       1 | 2017-05-21 14:07:57.99788  | 2017-05-21 21:08:14.810069 | 07:00:16.812189
 11462 | 599 |       1 | 2017-05-21 13:43:59.847468 | 2017-05-21 13:54:13.237025 | 00:10:13.389557
 11461 | 599 |       1 | 2017-05-21 12:15:26.867715 | 2017-05-21 13:38:00.810326 | 01:22:33.942611
 11460 | 599 |       1 | 2017-05-21 11:30:45.237933 | 2017-05-21 12:13:02.005374 | 00:42:16.767441
 11459 | 599 |       1 | 2017-05-21 04:28:01.741206 | 2017-05-21 11:28:18.826608 | 07:00:17.085402
 11458 | 599 |       1 | 2017-05-20 21:25:14.298089 | 2017-05-21 04:25:26.935813 | 07:00:12.637724
 11457 | 599 |       1 | 2017-05-20 21:20:28.113923 |                            | 
 11456 | 599 |       1 | 2017-05-20 14:17:50.689254 | 2017-05-20 21:18:07.454365 | 07:00:16.765111
 11455 | 599 |       1 | 2017-05-20 13:51:19.987924 | 2017-05-20 14:01:58.377346 | 00:10:38.389422
 11454 | 599 |       1 |                            |                            | 
 11453 | 599 |       1 | 2017-05-20 11:55:10.665488 | 2017-05-20 13:36:43.274601 | 01:41:32.609113
 11452 | 599 |       1 | 2017-05-20 05:51:59.949199 | 2017-05-20 11:51:46.98559  | 05:59:47.036391
 11451 | 599 |       1 | 2017-05-19 22:49:17.05376  | 2017-05-20 05:49:31.935221 | 07:00:14.881461
 11450 | 599 |       1 | 2017-05-19 15:40:37.994487 | 2017-05-19 22:40:55.595608 | 07:00:17.601121
 11449 | 600 |       1 | 2017-05-19 13:46:08.585049 | 2017-05-19 14:51:10.500918 | 01:05:01.915869
 11448 | 600 |       1 | 2017-05-19 10:36:27.061543 | 2017-05-19 13:40:42.84342  | 03:04:15.781877
 11447 | 599 |       1 | 2017-05-19 09:58:51.993928 | 2017-05-19 10:19:04.837416 | 00:20:12.843488
 11446 | 600 |       1 | 2017-05-19 03:52:06.887533 | 2017-05-19 09:44:40.655489 | 05:52:33.767956
 11445 | 600 |       1 | 2017-05-18 20:48:42.152622 | 2017-05-19 03:48:59.821884 | 07:00:17.669262
 11444 | 600 |       1 | 2017-05-18 20:41:10.396854 | 2017-05-18 20:46:25.356252 | 00:05:14.959398
 11443 | 598 |       1 | 2017-05-18 20:25:55.951699 | 2017-05-18 20:31:09.070378 | 00:05:13.118679
 11442 | 598 |       1 | 2017-05-18 20:22:20.375635 | 2017-05-18 20:23:09.340983 | 00:00:48.965348
 11441 | 598 |       1 | 2017-05-18 20:17:26.89481  | 2017-05-18 20:19:18.10785  | 00:01:51.21304
 11440 | 598 |       1 | 2017-05-18 20:08:33.012148 | 2017-05-18 20:13:51.310199 | 00:05:18.298051
 11439 | 598 |       1 | 2017-05-18 19:59:53.979385 | 2017-05-18 20:05:09.754521 | 00:05:15.775136
 11438 | 598 |       1 | 2017-05-18 19:49:23.881779 | 2017-05-18 19:53:47.500024 | 00:04:23.618245
 11437 | 598 |       1 | 2017-05-18 19:11:16.160024 | 2017-05-18 19:16:31.495515 | 00:05:15.335491
